英文,中文
placeholder,占位行（可忽略）
rec_0_bank_suc_out_cnt,当月银行类机构成功转出笔数
rec_0_cf_suc_out_cnt,当月消费金融类机构成功转出笔数
rec_0_top_suc_out_cnt,当月头部平台类贷款类机构成功转出笔数
rec_0_others_suc_out_cnt,当月其他贷款类机构成功转出笔数
rec_0_nonloan_suc_out_cnt,当月非贷款类金融机构成功转出笔数
rec_0_bank_suc_out_amt,当月银行类机构成功转出金额
rec_0_cf_suc_out_amt,当月消费金融类机构成功转出金额
rec_0_top_suc_out_amt,当月头部平台类贷款类机构成功转出金额
rec_0_others_suc_out_amt,当月其他贷款类机构成功转出金额
rec_0_nonloan_suc_out_amt,当月非贷款类金融机构成功转出金额
rec_0_bank_suc_out_max,当月银行类机构成功转出最大值
rec_0_cf_suc_out_max,当月消费金融类机构成功转出最大值
rec_0_top_suc_out_max,当月头部平台类贷款类机构成功转出最大值
rec_0_others_suc_out_max,当月其他贷款类机构成功转出最大值
rec_0_bank_fail_out_cnt,当月银行类机构失败转出笔数
rec_0_cf_fail_out_cnt,当月消费金融类机构失败转出笔数
rec_0_top_fail_out_cnt,当月头部平台类贷款类机构失败转出笔数
rec_0_others_fail_out_cnt,当月其他贷款类机构失败转出笔数
rec_0_bank_fail_out_amt,当月银行类机构失败转出金额
rec_0_cf_fail_out_amt,当月消费金融类机构失败转出金额
rec_0_top_fail_out_amt,当月头部平台类贷款类机构失败转出金额
rec_0_others_fail_out_amt,当月其他贷款类机构失败转出金额
rec_0_bank_fail_out_max,当月银行类机构失败转出最大值
rec_0_cf_fail_out_max,当月消费金融类机构失败转出最大值
rec_0_top_fail_out_max,当月头部平台类贷款类机构失败转出最大值
rec_0_others_fail_out_max,当月其他贷款类机构失败转出最大值
rec_0_bank_suc_in_cnt,当月银行类机构成功转入笔数
rec_0_cf_suc_in_cnt,当月消费金融类机构成功转入笔数
rec_0_top_suc_in_cnt,当月头部平台类贷款类机构成功转入笔数
rec_0_others_suc_in_cnt,当月其他贷款类机构成功转入笔数
rec_0_bank_suc_in_amt,当月银行类机构成功转入金额
rec_0_cf_suc_in_amt,当月消费金融类机构成功转入金额
rec_0_top_suc_in_amt,当月头部平台类贷款类机构成功转入金额
rec_0_others_suc_in_amt,当月其他贷款类机构成功转入金额
rec_1_bank_suc_out_cnt,近一个月银行类机构成功转出笔数
rec_1_cf_suc_out_cnt,近一个月消费金融类机构成功转出笔数
rec_1_top_suc_out_cnt,近一个月头部平台类贷款类机构成功转出笔数
rec_1_others_suc_out_cnt,近一个月其他贷款类机构成功转出笔数
rec_1_nonloan_suc_out_cnt,近一个月非贷款类金融机构成功转出笔数
rec_1_bank_suc_out_amt,近一个月银行类机构成功转出金额
rec_1_cf_suc_out_amt,近一个月消费金融类机构成功转出金额
rec_1_top_suc_out_amt,近一个月头部平台类贷款类机构成功转出金额
rec_1_others_suc_out_amt,近一个月其他贷款类机构成功转出金额
rec_1_nonloan_suc_out_amt,近一个月非贷款类金融机构成功转出金额
rec_1_bank_suc_out_max,近一个月银行类机构成功转出最大值
rec_1_cf_suc_out_max,近一个月消费金融类机构成功转出最大值
rec_1_top_suc_out_max,近一个月头部平台类贷款类机构成功转出最大值
rec_1_others_suc_out_max,近一个月其他贷款类机构成功转出最大值
rec_1_bank_fail_out_cnt,近一个月银行类机构失败转出笔数
rec_1_cf_fail_out_cnt,近一个月消费金融类机构失败转出笔数
rec_1_top_fail_out_cnt,近一个月头部平台类贷款类机构失败转出笔数
rec_1_others_fail_out_cnt,近一个月其他贷款类机构失败转出笔数
rec_1_bank_fail_out_amt,近一个月银行类机构失败转出金额
rec_1_cf_fail_out_amt,近一个月消费金融类机构失败转出金额
rec_1_top_fail_out_amt,近一个月头部平台类贷款类机构失败转出金额
rec_1_others_fail_out_amt,近一个月其他贷款类机构失败转出金额
rec_1_bank_fail_out_max,近一个月银行类机构失败转出最大值
rec_1_cf_fail_out_max,近一个月消费金融类机构失败转出最大值
rec_1_top_fail_out_max,近一个月头部平台类贷款类机构失败转出最大值
rec_1_others_fail_out_max,近一个月其他贷款类机构失败转出最大值
rec_1_bank_suc_in_cnt,近一个月银行类机构成功转入笔数
rec_1_cf_suc_in_cnt,近一个月消费金融类机构成功转入笔数
rec_1_top_suc_in_cnt,近一个月头部平台类贷款类机构成功转入笔数
rec_1_others_suc_in_cnt,近一个月其他贷款类机构成功转入笔数
rec_1_bank_suc_in_amt,近一个月银行类机构成功转入金额
rec_1_cf_suc_in_amt,近一个月消费金融类机构成功转入金额
rec_1_top_suc_in_amt,近一个月头部平台类贷款类机构成功转入金额
rec_1_others_suc_in_amt,近一个月其他贷款类机构成功转入金额
rec_2_bank_suc_out_cnt,近两个月银行类机构成功转出笔数
rec_2_cf_suc_out_cnt,近两个月消费金融类机构成功转出笔数
rec_2_top_suc_out_cnt,近两个月头部平台类贷款类机构成功转出笔数
rec_2_others_suc_out_cnt,近两个月其他贷款类机构成功转出笔数
rec_2_nonloan_suc_out_cnt,近两个月非贷款类金融机构成功转出笔数
rec_2_bank_suc_out_amt,近两个月银行类机构成功转出金额
rec_2_cf_suc_out_amt,近两个月消费金融类机构成功转出金额
rec_2_top_suc_out_amt,近两个月头部平台类贷款类机构成功转出金额
rec_2_others_suc_out_amt,近两个月其他贷款类机构成功转出金额
rec_2_nonloan_suc_out_amt,近两个月非贷款类金融机构成功转出金额
rec_2_bank_suc_out_max,近两个月银行类机构成功转出最大值
rec_2_cf_suc_out_max,近两个月消费金融类机构成功转出最大值
rec_2_top_suc_out_max,近两个月头部平台类贷款类机构成功转出最大值
rec_2_others_suc_out_max,近两个月其他贷款类机构成功转出最大值
rec_2_bank_fail_out_cnt,近两个月银行类机构失败转出笔数
rec_2_cf_fail_out_cnt,近两个月消费金融类机构失败转出笔数
rec_2_top_fail_out_cnt,近两个月头部平台类贷款类机构失败转出笔数
rec_2_others_fail_out_cnt,近两个月其他贷款类机构失败转出笔数
rec_2_bank_fail_out_amt,近两个月银行类机构失败转出金额
rec_2_cf_fail_out_amt,近两个月消费金融类机构失败转出金额
rec_2_top_fail_out_amt,近两个月头部平台类贷款类机构失败转出金额
rec_2_others_fail_out_amt,近两个月其他贷款类机构失败转出金额
rec_2_bank_fail_out_max,近两个月银行类机构失败转出最大值
rec_2_cf_fail_out_max,近两个月消费金融类机构失败转出最大值
rec_2_top_fail_out_max,近两个月头部平台类贷款类机构失败转出最大值
rec_2_others_fail_out_max,近两个月其他贷款类机构失败转出最大值
rec_2_bank_suc_in_cnt,近两个月银行类机构成功转入笔数
rec_2_cf_suc_in_cnt,近两个月消费金融类机构成功转入笔数
rec_2_top_suc_in_cnt,近两个月头部平台类贷款类机构成功转入笔数
rec_2_others_suc_in_cnt,近两个月其他贷款类机构成功转入笔数
rec_2_bank_suc_in_amt,近两个月银行类机构成功转入金额
rec_2_cf_suc_in_amt,近两个月消费金融类机构成功转入金额
rec_2_top_suc_in_amt,近两个月头部平台类贷款类机构成功转入金额
rec_2_others_suc_in_amt,近两个月其他贷款类机构成功转入金额
rec_3_bank_suc_out_cnt,近三个月银行类机构成功转出笔数
rec_3_cf_suc_out_cnt,近三个月消费金融类机构成功转出笔数
rec_3_top_suc_out_cnt,近三个月头部平台类贷款类机构成功转出笔数
rec_3_others_suc_out_cnt,近三个月其他贷款类机构成功转出笔数
rec_3_nonloan_suc_out_cnt,近三个月非贷款类金融机构成功转出笔数
rec_3_bank_suc_out_amt,近三个月银行类机构成功转出金额
rec_3_cf_suc_out_amt,近三个月消费金融类机构成功转出金额
rec_3_top_suc_out_amt,近三个月头部平台类贷款类机构成功转出金额
rec_3_others_suc_out_amt,近三个月其他贷款类机构成功转出金额
rec_3_nonloan_suc_out_amt,近三个月非贷款类金融机构成功转出金额
rec_3_bank_suc_out_max,近三个月银行类机构成功转出最大值
rec_3_cf_suc_out_max,近三个月消费金融类机构成功转出最大值
rec_3_top_suc_out_max,近三个月头部平台类贷款类机构成功转出最大值
rec_3_others_suc_out_max,近三个月其他贷款类机构成功转出最大值
rec_3_bank_fail_out_cnt,近三个月银行类机构失败转出笔数
rec_3_cf_fail_out_cnt,近三个月消费金融类机构失败转出笔数
rec_3_top_fail_out_cnt,近三个月头部平台类贷款类机构失败转出笔数
rec_3_others_fail_out_cnt,近三个月其他贷款类机构失败转出笔数
rec_3_bank_fail_out_amt,近三个月银行类机构失败转出金额
rec_3_cf_fail_out_amt,近三个月消费金融类机构失败转出金额
rec_3_top_fail_out_amt,近三个月头部平台类贷款类机构失败转出金额
rec_3_others_fail_out_amt,近三个月其他贷款类机构失败转出金额
rec_3_bank_fail_out_max,近三个月银行类机构失败转出最大值
rec_3_cf_fail_out_max,近三个月消费金融类机构失败转出最大值
rec_3_top_fail_out_max,近三个月头部平台类贷款类机构失败转出最大值
rec_3_others_fail_out_max,近三个月其他贷款类机构失败转出最大值
rec_3_bank_suc_in_cnt,近三个月银行类机构成功转入笔数
rec_3_cf_suc_in_cnt,近三个月消费金融类机构成功转入笔数
rec_3_top_suc_in_cnt,近三个月头部平台类贷款类机构成功转入笔数
rec_3_others_suc_in_cnt,近三个月其他贷款类机构成功转入笔数
rec_3_bank_suc_in_amt,近三个月银行类机构成功转入金额
rec_3_cf_suc_in_amt,近三个月消费金融类机构成功转入金额
rec_3_top_suc_in_amt,近三个月头部平台类贷款类机构成功转入金额
rec_3_others_suc_in_amt,近三个月其他贷款类机构成功转入金额
rec_6_bank_suc_out_cnt,近六个月银行类机构成功转出笔数
rec_6_cf_suc_out_cnt,近六个月消费金融类机构成功转出笔数
rec_6_top_suc_out_cnt,近六个月头部平台类贷款类机构成功转出笔数
rec_6_others_suc_out_cnt,近六个月其他贷款类机构成功转出笔数
rec_6_nonloan_suc_out_cnt,近六个月非贷款类金融机构成功转出笔数
rec_6_bank_suc_out_amt,近六个月银行类机构成功转出金额
rec_6_cf_suc_out_amt,近六个月消费金融类机构成功转出金额
rec_6_top_suc_out_amt,近六个月头部平台类贷款类机构成功转出金额
rec_6_others_suc_out_amt,近六个月其他贷款类机构成功转出金额
rec_6_nonloan_suc_out_amt,近六个月非贷款类金融机构成功转出金额
rec_6_bank_suc_out_max,近六个月银行类机构成功转出最大值
rec_6_cf_suc_out_max,近六个月消费金融类机构成功转出最大值
rec_6_top_suc_out_max,近六个月头部平台类贷款类机构成功转出最大值
rec_6_others_suc_out_max,近六个月其他贷款类机构成功转出最大值
rec_6_bank_fail_out_cnt,近六个月银行类机构失败转出笔数
rec_6_cf_fail_out_cnt,近六个月消费金融类机构失败转出笔数
rec_6_top_fail_out_cnt,近六个月头部平台类贷款类机构失败转出笔数
rec_6_others_fail_out_cnt,近六个月其他贷款类机构失败转出笔数
