feature,name
cardnum,银行卡数
verify_all_all_all_membercnt_last_bind_months,全类别机构最近绑卡距今月份数
verify_all_bank_all_membercnt_last_bind_months,银行类机构最近绑卡距今月份数
verify_all_cf_all_membercnt_last_bind_months,消金类机构最近绑卡距今月份数
verify_all_top_all_membercnt_last_bind_months,头部平台贷款类机构最近绑卡距今月份数
verify_all_others_all_membercnt_last_bind_months,其他贷款类机构最近绑卡距今月份数
verify_all_nonloan_all_membercnt_last_bind_months,非贷款类金融机构最近绑卡距今月份数
verify_all_all_all_membercnt_first_bind_months,全类别机构最早绑卡距今月份数
verify_all_bank_all_membercnt_first_bind_months,银行类机构最早绑卡距今月份数
verify_all_cf_all_membercnt_first_bind_months,消金类机构最早绑卡距今月份数
verify_all_top_all_membercnt_first_bind_months,头部平台贷款类机构最早绑卡距今月份数
verify_all_others_all_membercnt_first_bind_months,其他贷款类机构最早绑卡距今月份数
verify_all_nonloan_all_membercnt_first_bind_months,非贷款类金融机构最早绑卡距今月份数
verify_all_bank_all_membercnt_day31,近31天银行类机构所有卡全部验证平台数
verify_all_bank_all_membercnt_day60,近60天银行类机构所有卡全部验证平台数
verify_all_bank_all_membercnt_day90,近90天银行类机构所有卡全部验证平台数
verify_all_bank_all_membercnt_day180,近180天银行类机构所有卡全部验证平台数
verify_all_bank_all_membercnt_day360,近360天银行类机构所有卡全部验证平台数
verify_all_bank_all_membercnt_day720,近720天银行类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day31,近31天消金类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day60,近60天消金类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day90,近90天消金类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day180,近180天消金类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day360,近360天消金类机构所有卡全部验证平台数
verify_all_cf_all_membercnt_day720,近720天消金类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day31,近31天头部平台贷款类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day60,近60天头部平台贷款类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day90,近90天头部平台贷款类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day180,近180天头部平台贷款类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day360,近360天头部平台贷款类机构所有卡全部验证平台数
verify_all_top_all_membercnt_day720,近720天头部平台贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day31,近31天其他贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day60,近60天其他贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day90,近90天其他贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day180,近180天其他贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day360,近360天其他贷款类机构所有卡全部验证平台数
verify_all_others_all_membercnt_day720,近720天其他贷款类机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day31,近31天非贷款类金融机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day60,近60天非贷款类金融机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day90,近90天非贷款类金融机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day180,近180天非贷款类金融机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day360,近360天非贷款类金融机构所有卡全部验证平台数
verify_all_nonloan_all_membercnt_day720,近720天非贷款类金融机构所有卡全部验证平台数
verify_all_all_all_membercnt_day31,近1个月全类别机构所有卡全部验证平台数
verify_all_all_all_membercnt_day60,近2个月全类别机构所有卡全部验证平台数
verify_all_all_all_membercnt_day90,近3个月全类别机构所有卡全部验证平台数
verify_all_all_all_membercnt_day180,近6个月全类别机构所有卡全部验证平台数
verify_all_all_all_membercnt_day360,近12个月全类别机构所有卡全部验证平台数
verify_all_all_all_membercnt_day720,近24个月全类别机构所有卡全部验证平台数
rec_0_bank_suc_out_amt,当月银行成功转出金额
rec_0_cf_suc_out_amt,当月消金成功转出金额
rec_0_top_suc_out_amt,当月头部平台成功转出金额
rec_0_others_suc_out_amt,当月其他贷款成功转出金额
rec_0_nonloan_suc_out_amt,当月非贷款成功转出金额
rec_0_all_suc_out_amt,当月全类别机构成功转出金额
rec_1_bank_suc_out_amt,近1个月银行成功转出金额
rec_1_cf_suc_out_amt,近1个月消金成功转出金额
rec_1_top_suc_out_amt,近1个月头部平台成功转出金额
rec_1_others_suc_out_amt,近1个月其他贷款成功转出金额
rec_1_nonloan_suc_out_amt,近1个月非贷款成功转出金额
rec_1_all_suc_out_amt,近1个月全类别机构成功转出金额
rec_3_bank_suc_out_amt,近3个月银行成功转出金额
rec_3_cf_suc_out_amt,近3个月消金成功转出金额
rec_3_top_suc_out_amt,近3个月头部平台成功转出金额
rec_3_others_suc_out_amt,近3个月其他贷款成功转出金额
rec_3_nonloan_suc_out_amt,近3个月非贷款成功转出金额
rec_3_all_suc_out_amt,近3个月全类别机构成功转出金额
rec_6_bank_suc_out_amt,近6个月银行成功转出金额
rec_6_cf_suc_out_amt,近6个月消金成功转出金额
rec_6_top_suc_out_amt,近6个月头部平台成功转出金额
rec_6_others_suc_out_amt,近6个月其他贷款成功转出金额
rec_6_nonloan_suc_out_amt,近6个月非贷款成功转出金额
rec_6_all_suc_out_amt,近6个月全类别机构成功转出金额
rec_12_bank_suc_out_amt,近12个月银行成功转出金额
rec_12_cf_suc_out_amt,近12个月消金成功转出金额
rec_12_top_suc_out_amt,近12个月头部平台成功转出金额
rec_12_others_suc_out_amt,近12个月其他贷款成功转出金额
rec_12_nonloan_suc_out_amt,近12个月非贷款成功转出金额
rec_12_all_suc_out_amt,近12个月全类别机构成功转出金额
rec_24_bank_suc_out_amt,近24个月银行成功转出金额
rec_24_cf_suc_out_amt,近24个月消金成功转出金额
rec_24_top_suc_out_amt,近24个月头部平台成功转出金额
rec_24_others_suc_out_amt,近24个月其他贷款成功转出金额
rec_24_nonloan_suc_out_amt,近24个月非贷款成功转出金额
rec_24_all_suc_out_amt,近24个月全类别机构成功转出金额
rec_0_bank_suc_out_cnt,当月银行成功转出笔数
rec_0_cf_suc_out_cnt,当月消金成功转出笔数
rec_0_top_suc_out_cnt,当月头部平台成功转出笔数
rec_0_others_suc_out_cnt,当月其他贷款成功转出笔数
rec_0_nonloan_suc_out_cnt,当月非贷款成功转出笔数
rec_0_all_suc_out_cnt,当月成功全类别机构转出笔数
rec_1_bank_suc_out_cnt,近1个月银行成功转出笔数
rec_1_cf_suc_out_cnt,近1个月消金成功转出笔数
rec_1_top_suc_out_cnt,近1个月头部平台成功转出笔数
rec_1_others_suc_out_cnt,近1个月其他贷款成功转出笔数
rec_1_nonloan_suc_out_cnt,近1个月非贷款成功转出笔数
rec_1_all_suc_out_cnt,近1个月全类别机构成功转出笔数
rec_3_bank_suc_out_cnt,近3个月银行成功转出笔数
rec_3_cf_suc_out_cnt,近3个月消金成功转出笔数
rec_3_top_suc_out_cnt,近3个月头部平台成功转出笔数
rec_3_others_suc_out_cnt,近3个月其他贷款成功转出笔数
rec_3_nonloan_suc_out_cnt,近3个月非贷款成功转出笔数
rec_3_all_suc_out_cnt,近3个月全类别机构成功转出笔数
rec_6_bank_suc_out_cnt,近6个月银行成功转出笔数
rec_6_cf_suc_out_cnt,近6个月消金成功转出笔数
rec_6_top_suc_out_cnt,近6个月头部平台成功转出笔数
rec_6_others_suc_out_cnt,近6个月其他贷款成功转出笔数
rec_6_nonloan_suc_out_cnt,近6个月非贷款成功转出笔数
rec_6_all_suc_out_cnt,近6个月全类别机构成功转出笔数
rec_12_bank_suc_out_cnt,近12个月银行成功转出笔数
rec_12_cf_suc_out_cnt,近12个月消金成功转出笔数
rec_12_top_suc_out_cnt,近12个月头部平台成功转出笔数
rec_12_others_suc_out_cnt,近12个月其他贷款成功转出笔数
rec_12_nonloan_suc_out_cnt,近12个月非贷款成功转出笔数
rec_12_all_suc_out_cnt,近12个月全类别机构成功转出笔数
rec_24_bank_suc_out_cnt,近24个月银行成功转出笔数
rec_24_cf_suc_out_cnt,近24个月消金成功转出笔数
rec_24_top_suc_out_cnt,近24个月头部平台成功转出笔数
rec_24_others_suc_out_cnt,近24个月其他贷款成功转出笔数
rec_24_nonloan_suc_out_cnt,近24个月非贷款成功转出笔数
rec_24_all_suc_out_cnt,近24个月全类别机构成功转出笔数
rec_0_bank_suc_out_avg,当月银行成功转出笔均金额
rec_0_cf_suc_out_avg,当月消金成功转出笔均金额
rec_0_top_suc_out_avg,当月头部平台成功转出笔均金额
rec_0_others_suc_out_avg,当月其他贷款成功转出笔均金额
rec_0_nonloan_suc_out_avg,当月非贷款成功转出笔均金额
rec_0_all_suc_out_avg,当月成功全类别机构转出笔均金额
rec_1_bank_suc_out_avg,近1个月银行成功转出笔均金额
rec_1_cf_suc_out_avg,近1个月消金成功转出笔均金额
rec_1_top_suc_out_avg,近1个月头部平台成功转出笔均金额
rec_1_others_suc_out_avg,近1个月其他贷款成功转出笔均金额
rec_1_nonloan_suc_out_avg,近1个月非贷款成功转出笔均金额
rec_1_all_suc_out_avg,近1个月全类别机构成功转出笔均金额
rec_3_bank_suc_out_avg,近3个月银行成功转出笔均金额
rec_3_cf_suc_out_avg,近3个月消金成功转出笔均金额
rec_3_top_suc_out_avg,近3个月头部平台成功转出笔均金额
rec_3_others_suc_out_avg,近3个月其他贷款成功转出笔均金额
rec_3_nonloan_suc_out_avg,近3个月非贷款成功转出笔均金额
rec_3_all_suc_out_avg,近3个月全类别机构成功转出笔均金额
rec_6_bank_suc_out_avg,近6个月银行成功转出笔均金额
rec_6_cf_suc_out_avg,近6个月消金成功转出笔均金额
rec_6_top_suc_out_avg,近6个月头部平台成功转出笔均金额
rec_6_others_suc_out_avg,近6个月其他贷款成功转出笔均金额
rec_6_nonloan_suc_out_avg,近6个月非贷款成功转出笔均金额
rec_6_all_suc_out_avg,近6个月全类别机构成功转出笔均金额
rec_12_bank_suc_out_avg,近12个月银行成功转出笔均金额
rec_12_cf_suc_out_avg,近12个月消金成功转出笔均金额
rec_12_top_suc_out_avg,近12个月头部平台成功转出笔均金额
rec_12_others_suc_out_avg,近12个月其他贷款成功转出笔均金额
rec_12_nonloan_suc_out_avg,近12个月非贷款成功转出笔均金额
rec_12_all_suc_out_avg,近12个月全类别机构成功转出笔均金额
rec_24_bank_suc_out_avg,近24个月银行成功转出笔均金额
rec_24_cf_suc_out_avg,近24个月银行成功转出笔均金额
rec_24_top_suc_out_avg,近24个月银行成功转出笔均金额
rec_24_others_suc_out_avg,近24个月其他贷款成功转出笔均金额
rec_24_nonloan_suc_out_avg,近24个月非贷款成功转出笔均金额
rec_24_all_suc_out_avg,近24个月全类别机构成功转出笔均金额
rec_0_bank_suc_out_max,当月银行成功转出单笔最大值
rec_0_cf_suc_out_max,当月消金成功转出单笔最大值
rec_0_top_suc_out_max,当月头部平台成功转出单笔最大值
rec_0_others_suc_out_max,当月其他贷款成功转出单笔最大值
rec_0_all_suc_out_max,当月全类别机构成功转出单笔最大值
rec_1_bank_suc_out_max,近1个月银行成功转出单笔最大值
rec_1_cf_suc_out_max,近1个月消金成功转出单笔最大值
rec_1_top_suc_out_max,近1个月头部平台成功转出单笔最大值
rec_1_others_suc_out_max,近1个月其他贷款成功转出单笔最大值
rec_1_all_suc_out_max,近1个月全类别机构成功转出单笔最大值
rec_3_bank_suc_out_max,近3个月银行成功转出单笔最大值
rec_3_cf_suc_out_max,近3个月消金成功转出单笔最大值
rec_3_top_suc_out_max,近3个月头部平台成功转出单笔最大值
rec_3_others_suc_out_max,近3个月其他贷款成功转出单笔最大值
rec_3_all_suc_out_max,近3个月全类别机构成功转出单笔最大值
rec_6_bank_suc_out_max,近6个月银行成功转出单笔最大值
rec_6_cf_suc_out_max,近6个月消金成功转出单笔最大值
rec_6_top_suc_out_max,近6个月头部平台成功转出单笔最大值
rec_6_others_suc_out_max,近6个月其他贷款成功转出单笔最大值
rec_6_all_suc_out_max,近6个月全类别机构成功转出单笔最大值
rec_12_bank_suc_out_max,近12个月银行成功转出单笔最大值
rec_12_cf_suc_out_max,近12个月消金成功转出单笔最大值
rec_12_top_suc_out_max,近12个月头部平台成功转出单笔最大值
rec_12_others_suc_out_max,近12个月其他贷款成功转出单笔最大值
rec_12_all_suc_out_max,近12个月全类别机构成功转出单笔最大值
rec_24_bank_suc_out_max,近24个月银行成功转出单笔最大值
rec_24_cf_suc_out_max,近24个月消金成功转出单笔最大值
rec_24_top_suc_out_max,近24个月头部平台成功转出单笔最大值
rec_24_others_suc_out_max,近24个月其他贷款成功转出单笔最大值
rec_24_all_suc_out_max,近24个月全类别机构成功转出单笔最大值
rec_0_all_suc_in_amt,当月全类别机构成功转入金额
rec_1_all_suc_in_amt,近1个月全类别机构成功转入金额
rec_3_all_suc_in_amt,近3个月全类别机构成功转入金额
rec_6_all_suc_in_amt,近6个月全类别机构成功转入金额
rec_12_all_suc_in_amt,近12个月全类别机构成功转入金额
rec_24_all_suc_in_amt,近24个月全类别机构成功转入金额
rec_0_bank_fail_out_amt,当月银行失败转出金额
rec_0_cf_fail_out_amt,当月消金失败转出金额
rec_0_top_fail_out_amt,当月头部平台失败转出金额
rec_0_others_fail_out_amt,当月其他贷款失败转出金额
rec_0_all_fail_out_amt,当月全类别机构失败转出金额
rec_1_bank_fail_out_amt,近1个月银行失败转出金额
rec_1_cf_fail_out_amt,近1个月消金失败转出金额
rec_1_top_fail_out_amt,近1个月头部平台失败转出金额
rec_1_others_fail_out_amt,近1个月其他贷款失败转出金额
rec_1_all_fail_out_amt,近1个月全类别机构失败转出金额
rec_3_bank_fail_out_amt,近3个月银行失败转出金额
rec_3_cf_fail_out_amt,近3个月消金失败转出金额
rec_3_top_fail_out_amt,近3个月头部平台失败转出金额
rec_3_others_fail_out_amt,近3个月其他贷款失败转出金额
rec_3_all_fail_out_amt,近3个月全类别机构失败转出金额
rec_6_bank_fail_out_amt,近6个月银行失败转出金额
rec_6_cf_fail_out_amt,近6个月消金失败转出金额
rec_6_top_fail_out_amt,近6个月头部平台失败转出金额
rec_6_others_fail_out_amt,近6个月其他贷款失败转出金额
rec_6_all_fail_out_amt,近6个月全类别机构失败转出金额
rec_12_bank_fail_out_amt,近12个月银行失败转出金额
rec_12_cf_fail_out_amt,近12个月消金失败转出金额
rec_12_top_fail_out_amt,近12个月头部平台失败转出金额
rec_12_others_fail_out_amt,近12个月其他贷款失败转出金额
rec_12_all_fail_out_amt,近12个月全类别机构失败转出金额
rec_24_bank_fail_out_amt,近24个月银行失败转出金额
rec_24_cf_fail_out_amt,近24个月消金失败转出金额
rec_24_top_fail_out_amt,近24个月头部平台失败转出金额
rec_24_others_fail_out_amt,近24个月其他贷款失败转出金额
rec_24_all_fail_out_amt,近24个月全类别机构失败转出金额
rec_0_bank_fail_out_cnt,当月银行失败转出笔数
rec_0_cf_fail_out_cnt,当月消金失败转出笔数
rec_0_top_fail_out_cnt,当月头部平台失败转出笔数
rec_0_others_fail_out_cnt,当月其他贷款失败转出笔数
rec_0_all_fail_out_cnt,当月全类别机构失败转出笔数
